game_id,date,season,time,home_team,away_team,home_score,away_score,venue,round,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goal_minutes_home,goal_minutes_away
11275784,2024-01-12,2023,16:00,Qatar,Lebanon,3,0,,Round 1,4,3,2,2,,,"45,56,90+6",
11275779,2024-01-13,2023,11:30,Australia,India,2,0,,Round 1,14,0,0,1,,,"50,73",
11275780,2024-01-13,2023,14:30,China,Tajikistan,0,0,,Round 1,4,4,1,2,,,,
11275781,2024-01-13,2023,17:30,Uzbekistan,Syria,0,0,,Round 1,5,2,1,1,,,,
11275785,2024-01-14,2023,11:30,Japan,Vietnam,4,2,,Round 1,3,1,1,0,,,"11,45,45+4,85","16,33"
11275786,2024-01-14,2023,14:30,United Arab Emirates,Hong Kong,3,1,,Round 1,5,4,1,2,,,"34,52,90+5",49
11275787,2024-01-14,2023,17:30,Iran,Palestine,4,1,,Round 1,3,2,1,6,,,"2,12,38,55",45+6
11275788,2024-01-15,2023,11:30,South Korea,Bahrain,3,1,,Round 1,4,1,5,2,,,"38,56,68",51
11275789,2024-01-15,2023,14:30,Indonesia,Iraq,1,3,,Round 1,4,4,2,0,,,37,"17,45+7,75"
11275790,2024-01-15,2023,17:30,Malaysia,Jordan,0,4,,Round 1,4,3,0,1,,,,"12,18,32,85"
11275791,2024-01-16,2023,14:30,Thailand,Kyrgyzstan,2,0,,Round 1,3,2,3,2,,,"26,48",
11275792,2024-01-16,2023,17:30,Saudi Arabia,Oman,2,1,,Round 1,6,0,1,0,,,"78,90+6",14
11275793,2024-01-17,2023,11:30,Lebanon,China,0,0,,Round 2,3,8,0,1,,,,
11275794,2024-01-17,2023,14:30,Tajikistan,Qatar,0,1,,Round 2,7,3,3,3,1,0,,17
11275795,2024-01-18,2023,11:30,Syria,Australia,0,1,,Round 2,1,4,0,2,,,,59
11275796,2024-01-18,2023,14:30,India,Uzbekistan,0,3,,Round 2,4,1,,,,,,"4,18,45+4"
11275797,2024-01-18,2023,17:30,Palestine,United Arab Emirates,1,1,,Round 2,16,1,1,1,0,1,50,23
11275798,2024-01-19,2023,11:30,Iraq,Japan,2,1,,Round 2,1,13,1,1,,,"5,45+4",90+3
11275799,2024-01-19,2023,14:30,Vietnam,Indonesia,0,1,,Round 2,6,4,2,2,1,0,,42
11275800,2024-01-19,2023,17:30,Hong Kong,Iran,0,1,,Round 2,2,5,2,0,,,,24
11275801,2024-01-20,2023,11:30,Jordan,South Korea,2,2,,Round 2,6,3,3,2,,,"37,45+6","9,90+1"
11275802,2024-01-20,2023,14:30,Bahrain,Malaysia,1,0,,Round 2,7,1,1,2,,,90+5,
11275803,2024-01-21,2023,14:30,Oman,Thailand,0,0,,Round 2,7,4,0,1,,,,
11275804,2024-01-21,2023,17:30,Kyrgyzstan,Saudi Arabia,0,2,,Round 2,0,8,2,1,2,0,,"35,84"
11275805,2024-01-22,2023,15:00,Qatar,China,1,0,,Round 3,6,6,3,0,,,66,
11275806,2024-01-22,2023,15:00,Tajikistan,Lebanon,2,1,,Round 3,6,5,3,2,0,1,"80,90+2",47
11275782,2024-01-23,2023,11:30,Australia,Uzbekistan,1,1,,Round 3,3,0,2,3,,,45+1,78
11275783,2024-01-23,2023,11:30,Syria,India,1,0,,Round 3,9,3,2,2,,,76,
11275808,2024-01-23,2023,15:00,Hong Kong,Palestine,0,3,,Round 3,4,1,2,0,,,,"12,48,60"
11275807,2024-01-23,2023,15:00,Iran,United Arab Emirates,2,1,,Round 3,7,0,2,2,,,"26,65",90+3
11275810,2024-01-24,2023,11:30,Iraq,Vietnam,3,2,,Round 3,5,1,1,4,0,1,"47,73,90+12","42,90+1"
11275809,2024-01-24,2023,11:30,Japan,Indonesia,3,1,,Round 3,4,1,2,3,,,"6,52,88",90+1
11275812,2024-01-25,2023,11:30,Jordan,Bahrain,0,1,,Round 3,4,2,2,0,,,,34
