game_id,date,season,time,home_team,away_team,home_score,away_score,venue
13755485,2025-06-15,2025,02:15,Mexico,Dominican Republic,3,2,
13755508,2025-06-15,2025,22:00,USA,Trinidad and Tobago,5,0,
13755509,2025-06-16,2025,00:15,Haiti,Saudi Arabia,0,1,
13755493,2025-06-16,2025,03:00,Costa Rica,Suriname,4,3,
13755502,2025-06-16,2025,23:00,Panama,Guadeloupe,5,2,
13755503,2025-06-17,2025,02:00,Jamaica,Guatemala,0,1,
13755497,2025-06-18,2025,00:15,Curaçao,El Salvador,0,0,
13755496,2025-06-18,2025,02:30,Canada,Honduras,6,0,
13755485,2025-06-15,2025,02:15,Mexico,Dominican Republic,3,2,
13755508,2025-06-15,2025,22:00,USA,Trinidad and Tobago,5,0,
13755509,2025-06-16,2025,00:15,Haiti,Saudi Arabia,0,1,
13755493,2025-06-16,2025,03:00,Costa Rica,Suriname,4,3,
13755502,2025-06-16,2025,23:00,Panama,Guadeloupe,5,2,
13755503,2025-06-17,2025,02:00,Jamaica,Guatemala,0,1,
13755497,2025-06-18,2025,00:15,Curaçao,El Salvador,0,0,
13755496,2025-06-18,2025,02:30,Canada,Honduras,6,0,
13755495,2025-06-18,2025,23:00,Costa Rica,Dominican Republic,2,1,
13755487,2025-06-19,2025,02:00,Suriname,Mexico,0,2,
13755511,2025-06-19,2025,22:45,Trinidad and Tobago,Haiti,1,1,
13755512,2025-06-20,2025,01:15,Saudi Arabia,USA,0,1,
13755510,2025-06-20,2025,23:45,Jamaica,Guadeloupe,2,1,
13755504,2025-06-21,2025,02:00,Guatemala,Panama,0,1,
13755499,2025-06-21,2025,23:00,Curaçao,Canada,1,1,
13755498,2025-06-22,2025,02:00,Honduras,El Salvador,2,0,
13755514,2025-06-22,2025,23:00,Saudi Arabia,Trinidad and Tobago,1,1,
13755513,2025-06-22,2025,23:00,USA,Haiti,2,1,
13755491,2025-06-23,2025,02:00,Dominican Republic,Suriname,0,0,
13755494,2025-06-23,2025,02:00,Mexico,Costa Rica,0,0,
13755506,2025-06-24,2025,23:00,Guadeloupe,Guatemala,2,3,
13755507,2025-06-24,2025,23:00,Panama,Jamaica,4,1,
13755501,2025-06-25,2025,02:00,Canada,El Salvador,2,0,
13755505,2025-06-25,2025,02:00,Honduras,Curaçao,2,1,
11232152,2023-06-25,2023,01:30,USA,Jamaica,1,1,
11347198,2023-06-25,2023,19:30,Trinidad and Tobago,Saint Kitts and Nevis,3,0,
11232149,2023-06-25,2023,22:00,Haiti,Qatar,2,1,
11232148,2023-06-26,2023,00:00,Mexico,Honduras,4,0,
11232150,2023-06-26,2023,22:30,El Salvador,Martinique,1,2,
11232171,2023-06-27,2023,00:30,Costa Rica,Panama,1,2,
11232156,2023-06-27,2023,23:00,Canada,Guadeloupe,2,2,
11232146,2023-06-28,2023,00:45,Guatemala,Cuba,1,0,
11347199,2023-06-28,2023,23:30,Jamaica,Trinidad and Tobago,4,1,
11232166,2023-06-29,2023,02:00,Saint Kitts and Nevis,USA,0,6,
11232154,2023-06-29,2023,23:45,Qatar,Honduras,1,1,
11232164,2023-06-30,2023,02:00,Haiti,Mexico,1,3,
11232170,2023-06-30,2023,22:30,Martinique,Panama,1,2,
11232158,2023-07-01,2023,00:30,El Salvador,Costa Rica,0,0,
11232165,2023-07-01,2023,23:30,Cuba,Guadeloupe,1,4,
11232172,2023-07-02,2023,01:30,Guatemala,Canada,0,0,
11232152,2023-06-25,2023,01:30,USA,Jamaica,1,1,
11347198,2023-06-25,2023,19:30,Trinidad and Tobago,Saint Kitts and Nevis,3,0,
11232149,2023-06-25,2023,22:00,Haiti,Qatar,2,1,
11232148,2023-06-26,2023,00:00,Mexico,Honduras,4,0,
11232150,2023-06-26,2023,22:30,El Salvador,Martinique,1,2,
11232171,2023-06-27,2023,00:30,Costa Rica,Panama,1,2,
11232156,2023-06-27,2023,23:00,Canada,Guadeloupe,2,2,
11232146,2023-06-28,2023,00:45,Guatemala,Cuba,1,0,
11347199,2023-06-28,2023,23:30,Jamaica,Trinidad and Tobago,4,1,
11232166,2023-06-29,2023,02:00,Saint Kitts and Nevis,USA,0,6,
11232154,2023-06-29,2023,23:45,Qatar,Honduras,1,1,
11232164,2023-06-30,2023,02:00,Haiti,Mexico,1,3,
11232170,2023-06-30,2023,22:30,Martinique,Panama,1,2,
11232158,2023-07-01,2023,00:30,El Salvador,Costa Rica,0,0,
11232165,2023-07-01,2023,23:30,Cuba,Guadeloupe,1,4,
11232172,2023-07-02,2023,01:30,Guatemala,Canada,0,0,
11232160,2023-07-02,2023,23:00,Jamaica,Saint Kitts and Nevis,5,0,
11347197,2023-07-02,2023,23:00,USA,Trinidad and Tobago,6,0,
11232153,2023-07-03,2023,01:00,Honduras,Haiti,2,1,
11232161,2023-07-03,2023,01:00,Mexico,Qatar,0,1,
11232169,2023-07-04,2023,22:30,Canada,Cuba,4,2,
11232159,2023-07-04,2023,22:30,Guadeloupe,Guatemala,2,3,
11232151,2023-07-05,2023,00:30,Costa Rica,Martinique,6,4,
11232168,2023-07-05,2023,00:30,Panama,El Salvador,2,2,
9528258,2021-07-10,2021,21:00,El Salvador,Curaçao,,,
9615040,2021-07-11,2021,02:00,Mexico,Trinidad and Tobago,0,0,
9528269,2021-07-11,2021,22:30,Canada,Martinique,4,1,
9615038,2021-07-12,2021,00:30,USA,Haiti,1,0,
9622642,2021-07-12,2021,02:30,El Salvador,Guatemala,2,0,
9528265,2021-07-12,2021,22:30,Jamaica,Suriname,2,0,
9615033,2021-07-13,2021,01:00,Costa Rica,Guadeloupe,3,1,
9528255,2021-07-13,2021,23:00,Qatar,Panama,3,3,
9528266,2021-07-14,2021,03:10,Honduras,Grenada,4,0,
9615037,2021-07-14,2021,23:30,Trinidad and Tobago,El Salvador,0,2,
9528268,2021-07-15,2021,01:30,Curaçao,Mexico,,,
9622641,2021-07-15,2021,01:30,Guatemala,Mexico,0,3,
9615034,2021-07-15,2021,23:30,Haiti,Canada,1,4,
9528270,2021-07-16,2021,01:30,Martinique,USA,1,6,
9615032,2021-07-16,2021,22:30,Guadeloupe,Jamaica,1,2,
9528257,2021-07-17,2021,00:30,Suriname,Costa Rica,1,2,
9528256,2021-07-17,2021,23:30,Grenada,Qatar,0,4,
9528260,2021-07-18,2021,01:30,Panama,Honduras,2,3,
9615035,2021-07-18,2021,21:00,Martinique,Haiti,1,2,
9528263,2021-07-18,2021,21:00,USA,Canada,1,0,
9615036,2021-07-19,2021,02:00,Curaçao,Trinidad and Tobago,,,
9622643,2021-07-19,2021,02:00,Guatemala,Trinidad and Tobago,1,1,
9528261,2021-07-19,2021,02:00,Mexico,El Salvador,1,0,
9528259,2021-07-20,2021,23:00,Costa Rica,Jamaica,1,0,
9615039,2021-07-20,2021,23:00,Suriname,Guadeloupe,2,1,
9528262,2021-07-21,2021,01:00,Honduras,Qatar,0,2,
9528267,2021-07-21,2021,03:30,Panama,Grenada,3,1,
9615035,2021-07-18,2021,21:00,Martinique,Haiti,1,2,
9528263,2021-07-18,2021,21:00,USA,Canada,1,0,
9615036,2021-07-19,2021,02:00,Curaçao,Trinidad and Tobago,,,
9622643,2021-07-19,2021,02:00,Guatemala,Trinidad and Tobago,1,1,
9528261,2021-07-19,2021,02:00,Mexico,El Salvador,1,0,
9528259,2021-07-20,2021,23:00,Costa Rica,Jamaica,1,0,
9615039,2021-07-20,2021,23:00,Suriname,Guadeloupe,2,1,
9528262,2021-07-21,2021,01:00,Honduras,Qatar,0,2,
9528267,2021-07-21,2021,03:30,Panama,Grenada,3,1,
9615037,2021-07-14,2021,23:30,Trinidad and Tobago,El Salvador,0,2,
9528268,2021-07-15,2021,01:30,Curaçao,Mexico,,,
9622641,2021-07-15,2021,01:30,Guatemala,Mexico,0,3,
9615034,2021-07-15,2021,23:30,Haiti,Canada,1,4,
9528270,2021-07-16,2021,01:30,Martinique,USA,1,6,
9615032,2021-07-16,2021,22:30,Guadeloupe,Jamaica,1,2,
9528257,2021-07-17,2021,00:30,Suriname,Costa Rica,1,2,
9528256,2021-07-17,2021,23:30,Grenada,Qatar,0,4,
9528260,2021-07-18,2021,01:30,Panama,Honduras,2,3,
9528258,2021-07-10,2021,21:00,El Salvador,Curaçao,,,
9615040,2021-07-11,2021,02:00,Mexico,Trinidad and Tobago,0,0,
9528269,2021-07-11,2021,22:30,Canada,Martinique,4,1,
9615038,2021-07-12,2021,00:30,USA,Haiti,1,0,
9622642,2021-07-12,2021,02:30,El Salvador,Guatemala,2,0,
9528265,2021-07-12,2021,22:30,Jamaica,Suriname,2,0,
9615033,2021-07-13,2021,01:00,Costa Rica,Guadeloupe,3,1,
9528255,2021-07-13,2021,23:00,Qatar,Panama,3,3,
9528266,2021-07-14,2021,03:10,Honduras,Grenada,4,0,
8196193,2019-06-15,2019,23:30,Canada,Martinique,4,0,
8196192,2019-06-16,2019,02:00,Mexico,Cuba,7,0,
8196194,2019-06-16,2019,22:00,Haiti,Bermuda,2,1,
8196195,2019-06-17,2019,00:30,Costa Rica,Nicaragua,4,0,
8196197,2019-06-17,2019,23:00,Curaçao,El Salvador,0,1,
8196203,2019-06-18,2019,01:30,Jamaica,Honduras,3,2,
8203268,2019-06-18,2019,23:30,Panama,Trinidad and Tobago,2,0,
8203269,2019-06-19,2019,02:00,USA,Guyana,4,0,
8196201,2019-06-20,2019,00:00,Cuba,Martinique,0,3,
8196199,2019-06-20,2019,02:30,Mexico,Canada,3,1,
8196202,2019-06-20,2019,23:00,Nicaragua,Haiti,0,2,
8196200,2019-06-21,2019,01:00,Costa Rica,Bermuda,2,1,
8196204,2019-06-21,2019,23:00,El Salvador,Jamaica,0,0,
8196205,2019-06-22,2019,01:30,Honduras,Curaçao,0,1,
8203270,2019-06-22,2019,21:30,Guyana,Panama,2,4,
8203271,2019-06-23,2019,00:00,USA,Trinidad and Tobago,6,0,
8196198,2019-06-23,2019,22:00,Canada,Cuba,7,0,
8196196,2019-06-24,2019,00:30,Martinique,Mexico,2,3,
8196828,2019-06-24,2019,22:30,Bermuda,Nicaragua,2,0,
8196827,2019-06-25,2019,01:00,Haiti,Costa Rica,2,1,
8196207,2019-06-26,2019,00:00,Jamaica,Curaçao,1,1,
8196206,2019-06-26,2019,02:30,Honduras,El Salvador,4,0,
8203272,2019-06-26,2019,22:30,Trinidad and Tobago,Guyana,1,1,
8203273,2019-06-27,2019,01:00,Panama,USA,0,1,
8196198,2019-06-23,2019,22:00,Canada,Cuba,7,0,
8196196,2019-06-24,2019,00:30,Martinique,Mexico,2,3,
8196828,2019-06-24,2019,22:30,Bermuda,Nicaragua,2,0,
8196827,2019-06-25,2019,01:00,Haiti,Costa Rica,2,1,
8196207,2019-06-26,2019,00:00,Jamaica,Curaçao,1,1,
8196206,2019-06-26,2019,02:30,Honduras,El Salvador,4,0,
8203272,2019-06-26,2019,22:30,Trinidad and Tobago,Guyana,1,1,
8203273,2019-06-27,2019,01:00,Panama,USA,0,1,
8196201,2019-06-20,2019,00:00,Cuba,Martinique,0,3,
8196199,2019-06-20,2019,02:30,Mexico,Canada,3,1,
8196202,2019-06-20,2019,23:00,Nicaragua,Haiti,0,2,
8196200,2019-06-21,2019,01:00,Costa Rica,Bermuda,2,1,
8196204,2019-06-21,2019,23:00,El Salvador,Jamaica,0,0,
8196205,2019-06-22,2019,01:30,Honduras,Curaçao,0,1,
8203270,2019-06-22,2019,21:30,Guyana,Panama,2,4,
8203271,2019-06-23,2019,00:00,USA,Trinidad and Tobago,6,0,
8196193,2019-06-15,2019,23:30,Canada,Martinique,4,0,
8196192,2019-06-16,2019,02:00,Mexico,Cuba,7,0,
8196194,2019-06-16,2019,22:00,Haiti,Bermuda,2,1,
8196195,2019-06-17,2019,00:30,Costa Rica,Nicaragua,4,0,
8196197,2019-06-17,2019,23:00,Curaçao,El Salvador,0,1,
8196203,2019-06-18,2019,01:30,Jamaica,Honduras,3,2,
8203268,2019-06-18,2019,23:30,Panama,Trinidad and Tobago,2,0,
8203269,2019-06-19,2019,02:00,USA,Guyana,4,0,
7424291,2017-07-07,2017,23:00,French Guiana,Canada,2,4,
7424292,2017-07-08,2017,01:00,Honduras,Costa Rica,0,1,
7424285,2017-07-08,2017,20:30,USA,Panama,1,1,
7424286,2017-07-08,2017,23:00,Martinique,Nicaragua,2,0,
7424297,2017-07-09,2017,23:00,Curaçao,Jamaica,0,2,
7424298,2017-07-10,2017,01:30,Mexico,El Salvador,3,1,
7424293,2017-07-11,2017,23:30,Costa Rica,Canada,1,1,
7424294,2017-07-12,2017,02:00,Honduras,French Guiana,3,0,
7424287,2017-07-12,2017,22:30,Panama,Nicaragua,2,1,
7424288,2017-07-13,2017,01:00,USA,Martinique,3,2,
7424299,2017-07-14,2017,00:00,El Salvador,Curaçao,2,0,
7424300,2017-07-14,2017,02:30,Mexico,Jamaica,0,0,
7424295,2017-07-14,2017,23:30,Costa Rica,French Guiana,3,0,
7424296,2017-07-15,2017,02:00,Canada,Honduras,0,0,
7424289,2017-07-15,2017,20:30,Panama,Martinique,3,0,
7424290,2017-07-15,2017,23:00,Nicaragua,USA,0,3,
7424301,2017-07-16,2017,22:00,Jamaica,El Salvador,1,1,
7424302,2017-07-17,2017,00:30,Curaçao,Mexico,0,2,
7424295,2017-07-14,2017,23:30,Costa Rica,French Guiana,3,0,
7424296,2017-07-15,2017,02:00,Canada,Honduras,0,0,
7424289,2017-07-15,2017,20:30,Panama,Martinique,3,0,
7424290,2017-07-15,2017,23:00,Nicaragua,USA,0,3,
7424301,2017-07-16,2017,22:00,Jamaica,El Salvador,1,1,
7424302,2017-07-17,2017,00:30,Curaçao,Mexico,0,2,
7424293,2017-07-11,2017,23:30,Costa Rica,Canada,1,1,
7424294,2017-07-12,2017,02:00,Honduras,French Guiana,3,0,
7424287,2017-07-12,2017,22:30,Panama,Nicaragua,2,1,
7424288,2017-07-13,2017,01:00,USA,Martinique,3,2,
7424299,2017-07-14,2017,00:00,El Salvador,Curaçao,2,0,
7424300,2017-07-14,2017,02:30,Mexico,Jamaica,0,0,
7424291,2017-07-07,2017,23:00,French Guiana,Canada,2,4,
7424292,2017-07-08,2017,01:00,Honduras,Costa Rica,0,1,
7424285,2017-07-08,2017,20:30,USA,Panama,1,1,
7424286,2017-07-08,2017,23:00,Martinique,Nicaragua,2,0,
7424297,2017-07-09,2017,23:00,Curaçao,Jamaica,0,2,
7424298,2017-07-10,2017,01:30,Mexico,El Salvador,3,1,
6726956,2015-07-07,2015,23:00,Panama,Haiti,1,1,
6726955,2015-07-08,2015,01:30,USA,Honduras,2,1,
6726959,2015-07-09,2015,00:00,Costa Rica,Jamaica,2,2,
6726962,2015-07-09,2015,02:30,El Salvador,Canada,0,0,
6726964,2015-07-09,2015,23:00,Trinidad and Tobago,Guatemala,3,1,
6726967,2015-07-10,2015,01:30,Mexico,Cuba,6,0,
6726958,2015-07-10,2015,22:00,Honduras,Panama,1,1,
6726968,2015-07-11,2015,00:30,USA,Haiti,1,0,
6726960,2015-07-11,2015,22:30,Jamaica,Canada,1,0,
6726969,2015-07-12,2015,01:00,Costa Rica,El Salvador,1,1,
6726971,2015-07-12,2015,22:30,Trinidad and Tobago,Cuba,2,0,
6726970,2015-07-13,2015,01:00,Guatemala,Mexico,0,0,
6726957,2015-07-13,2015,23:00,Haiti,Honduras,1,0,
6726965,2015-07-14,2015,01:30,Panama,USA,1,1,
6726961,2015-07-14,2015,22:00,Jamaica,El Salvador,1,0,
6726963,2015-07-15,2015,00:30,Canada,Costa Rica,0,0,
6726966,2015-07-15,2015,22:00,Cuba,Guatemala,1,0,
6726972,2015-07-16,2015,00:30,Mexico,Trinidad and Tobago,4,4,
6726957,2015-07-13,2015,23:00,Haiti,Honduras,1,0,
6726965,2015-07-14,2015,01:30,Panama,USA,1,1,
6726961,2015-07-14,2015,22:00,Jamaica,El Salvador,1,0,
6726963,2015-07-15,2015,00:30,Canada,Costa Rica,0,0,
6726966,2015-07-15,2015,22:00,Cuba,Guatemala,1,0,
6726972,2015-07-16,2015,00:30,Mexico,Trinidad and Tobago,4,4,
6726958,2015-07-10,2015,22:00,Honduras,Panama,1,1,
6726968,2015-07-11,2015,00:30,USA,Haiti,1,0,
6726960,2015-07-11,2015,22:30,Jamaica,Canada,1,0,
6726969,2015-07-12,2015,01:00,Costa Rica,El Salvador,1,1,
6726971,2015-07-12,2015,22:30,Trinidad and Tobago,Cuba,2,0,
6726970,2015-07-13,2015,01:00,Guatemala,Mexico,0,0,
6726956,2015-07-07,2015,23:00,Panama,Haiti,1,1,
6726955,2015-07-08,2015,01:30,USA,Honduras,2,1,
6726959,2015-07-09,2015,00:00,Costa Rica,Jamaica,2,2,
6726962,2015-07-09,2015,02:30,El Salvador,Canada,0,0,
6726964,2015-07-09,2015,23:00,Trinidad and Tobago,Guatemala,3,1,
6726967,2015-07-10,2015,01:30,Mexico,Cuba,6,0,
1674047,2011-06-05,2011,22:00,Costa Rica,Cuba,5,0,
1674048,2011-06-06,2011,00:00,Mexico,El Salvador,5,0,
1674053,2011-06-07,2011,01:00,Jamaica,Grenada,4,0,
1674054,2011-06-07,2011,03:00,Honduras,Guatemala,0,0,
1674059,2011-06-07,2011,22:00,Panama,Guadeloupe,3,2,
1674060,2011-06-08,2011,00:00,USA,Canada,2,0,
1674049,2011-06-09,2011,23:30,Costa Rica,El Salvador,1,1,
1674050,2011-06-10,2011,01:30,Cuba,Mexico,0,5,
1674055,2011-06-10,2011,23:00,Jamaica,Guatemala,2,0,
1674056,2011-06-11,2011,01:00,Grenada,Honduras,1,7,
1674061,2011-06-11,2011,22:00,Canada,Guadeloupe,1,0,
1674062,2011-06-12,2011,00:00,USA,Panama,1,2,
1674051,2011-06-12,2011,22:00,El Salvador,Cuba,6,1,
1674052,2011-06-13,2011,00:00,Mexico,Costa Rica,4,1,
1674057,2011-06-13,2011,23:00,Guatemala,Grenada,4,0,
1674058,2011-06-14,2011,01:00,Honduras,Jamaica,0,1,
1674063,2011-06-14,2011,23:00,Canada,Panama,1,1,
1674064,2011-06-15,2011,01:00,Guadeloupe,USA,0,1,
1674051,2011-06-12,2011,22:00,El Salvador,Cuba,6,1,
1674052,2011-06-13,2011,00:00,Mexico,Costa Rica,4,1,
1674057,2011-06-13,2011,23:00,Guatemala,Grenada,4,0,
1674058,2011-06-14,2011,01:00,Honduras,Jamaica,0,1,
1674063,2011-06-14,2011,23:00,Canada,Panama,1,1,
1674064,2011-06-15,2011,01:00,Guadeloupe,USA,0,1,
1674049,2011-06-09,2011,23:30,Costa Rica,El Salvador,1,1,
1674050,2011-06-10,2011,01:30,Cuba,Mexico,0,5,
1674055,2011-06-10,2011,23:00,Jamaica,Guatemala,2,0,
1674056,2011-06-11,2011,01:00,Grenada,Honduras,1,7,
1674061,2011-06-11,2011,22:00,Canada,Guadeloupe,1,0,
1674062,2011-06-12,2011,00:00,USA,Panama,1,2,
1674047,2011-06-05,2011,22:00,Costa Rica,Cuba,5,0,
1674048,2011-06-06,2011,00:00,Mexico,El Salvador,5,0,
1674053,2011-06-07,2011,01:00,Jamaica,Grenada,4,0,
1674054,2011-06-07,2011,03:00,Honduras,Guatemala,0,0,
1674059,2011-06-07,2011,22:00,Panama,Guadeloupe,3,2,
1674060,2011-06-08,2011,00:00,USA,Canada,2,0,
1034867,2009-07-04,2009,00:00,Canada,Jamaica,1,0,
1034868,2009-07-04,2009,02:00,Costa Rica,El Salvador,1,2,
1034873,2009-07-04,2009,23:00,Honduras,Haiti,1,0,
1034874,2009-07-05,2009,01:00,Grenada,USA,0,4,
1034879,2009-07-05,2009,21:00,Panama,Guadeloupe,1,2,
1034880,2009-07-05,2009,23:00,Nicaragua,Mexico,0,2,
1034869,2009-07-07,2009,23:00,Jamaica,Costa Rica,0,1,
1034870,2009-07-08,2009,01:00,El Salvador,Canada,0,1,
1034875,2009-07-08,2009,23:00,Haiti,Grenada,2,0,
1034876,2009-07-09,2009,01:00,USA,Honduras,2,0,
1034881,2009-07-10,2009,00:00,Guadeloupe,Nicaragua,2,0,
1034882,2009-07-10,2009,02:00,Mexico,Panama,1,1,
1034871,2009-07-10,2009,23:00,Costa Rica,Canada,2,2,
1034872,2009-07-11,2009,01:00,El Salvador,Jamaica,0,1,
1034877,2009-07-11,2009,23:00,USA,Haiti,2,2,
1034878,2009-07-12,2009,01:00,Honduras,Grenada,4,0,
1034883,2009-07-12,2009,21:00,Panama,Nicaragua,4,0,
1034884,2009-07-12,2009,23:00,Mexico,Guadeloupe,2,0,
1034871,2009-07-10,2009,23:00,Costa Rica,Canada,2,2,
1034872,2009-07-11,2009,01:00,El Salvador,Jamaica,0,1,
1034877,2009-07-11,2009,23:00,USA,Haiti,2,2,
1034878,2009-07-12,2009,01:00,Honduras,Grenada,4,0,
1034883,2009-07-12,2009,21:00,Panama,Nicaragua,4,0,
1034884,2009-07-12,2009,23:00,Mexico,Guadeloupe,2,0,
1034869,2009-07-07,2009,23:00,Jamaica,Costa Rica,0,1,
1034870,2009-07-08,2009,01:00,El Salvador,Canada,0,1,
1034875,2009-07-08,2009,23:00,Haiti,Grenada,2,0,
1034876,2009-07-09,2009,01:00,USA,Honduras,2,0,
1034881,2009-07-10,2009,00:00,Guadeloupe,Nicaragua,2,0,
1034882,2009-07-10,2009,02:00,Mexico,Panama,1,1,
1034867,2009-07-04,2009,00:00,Canada,Jamaica,1,0,
1034868,2009-07-04,2009,02:00,Costa Rica,El Salvador,1,2,
1034873,2009-07-04,2009,23:00,Honduras,Haiti,1,0,
1034874,2009-07-05,2009,01:00,Grenada,USA,0,4,
1034879,2009-07-05,2009,21:00,Panama,Guadeloupe,1,2,
1034880,2009-07-05,2009,23:00,Nicaragua,Mexico,0,2,
