league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
INT-European Championship,2000,2000-06-10 Belgium-Sweden,Group stage,1,Sat,2000-06-10,20:45 (03:45),Belgium,2–1,Sweden,46700,Stade Roi Baudouin,Markus Merk,/en/matches/d0cc54df/Belgium-Sweden-June-10-2000-UEFA-Euro-2000,,d0cc54df
INT-European Championship,2000,2000-06-11 France-Denmark,Group stage,1,Sun,2000-06-11,18:00 (01:00),France,3–0,Denmark,28100,Jan Breydelstadion,Günter Benkö,/en/matches/acf38877/France-Denmark-June-11-2000-UEFA-Euro-2000,,acf38877
INT-European Championship,2000,2000-06-11 Netherlands-Czechia,Group stage,1,Sun,2000-06-11,20:45 (03:45),Netherlands,1–0,Czechia,50800,Johan Cruyff ArenA,Pierluigi Collina,/en/matches/4b680532/Netherlands-Czechia-June-11-2000-UEFA-Euro-2000,,4b680532
INT-European Championship,2000,2000-06-11 Türkiye-Italy,Group stage,1,Sun,2000-06-11,14:30 (21:30),Türkiye,1–2,Italy,22500,GelreDome,Hugh Dallas,/en/matches/6027ced9/Turkiye-Italy-June-11-2000-UEFA-Euro-2000,,6027ced9
INT-European Championship,2000,2000-06-12 Germany-Romania,Group stage,1,Mon,2000-06-12,18:00 (01:00),Germany,1–1,Romania,28500,Stade Maurice Dufrasne,Kim Milton Nielsen,/en/matches/afcab359/Germany-Romania-June-12-2000-UEFA-Euro-2000,,afcab359
INT-European Championship,2000,2000-06-12 Portugal-England,Group stage,1,Mon,2000-06-12,20:45 (03:45),Portugal,3–2,England,31500,Philips Stadion,Anders Frisk,/en/matches/80bff97b/Portugal-England-June-12-2000-UEFA-Euro-2000,,80bff97b
INT-European Championship,2000,2000-06-13 Spain-Norway,Group stage,1,Tue,2000-06-13,18:00 (01:00),Spain,0–1,Norway,41000,Stadion Feijenoord,Gamal Al Ghandour,/en/matches/adb88414/Spain-Norway-June-13-2000-UEFA-Euro-2000,,adb88414
INT-European Championship,2000,2000-06-13 Yugoslavia-Slovenia,Group stage,1,Tue,2000-06-13,20:45 (03:45),Yugoslavia,3–3,Slovenia,18500,Stade du Pays de Charleroi,Vítor Melo,/en/matches/1a4852cc/FR-Yugoslavia-Slovenia-June-13-2000-UEFA-Euro-2000,,1a4852cc
INT-European Championship,2000,2000-06-14 Italy-Belgium,Group stage,2,Wed,2000-06-14,20:45 (03:45),Italy,2–0,Belgium,44500,Stade Roi Baudouin,José García Aranda,/en/matches/6154782f/Italy-Belgium-June-14-2000-UEFA-Euro-2000,,6154782f
INT-European Championship,2000,2000-06-15 Sweden-Türkiye,Group stage,2,Thu,2000-06-15,20:45 (03:45),Sweden,0–0,Türkiye,27000,Philips Stadion,Dick Jol,/en/matches/dc8934b7/Sweden-Turkiye-June-15-2000-UEFA-Euro-2000,,dc8934b7
INT-European Championship,2000,2000-06-16 Czechia-France,Group stage,2,Fri,2000-06-16,18:00 (01:00),Czechia,1–2,France,27243,Jan Breydelstadion,Graham Poll,/en/matches/2bfda9bb/Czechia-France-June-16-2000-UEFA-Euro-2000,,2bfda9bb
INT-European Championship,2000,2000-06-16 Denmark-Netherlands,Group stage,2,Fri,2000-06-16,20:45 (03:45),Denmark,0–3,Netherlands,51425,Stadion Feijenoord,Urs Meier,/en/matches/ae60ed14/Denmark-Netherlands-June-16-2000-UEFA-Euro-2000,,ae60ed14
INT-European Championship,2000,2000-06-17 England-Germany,Group stage,2,Sat,2000-06-17,20:45 (03:45),England,1–0,Germany,29000,Stade du Pays de Charleroi,Pierluigi Collina,/en/matches/1adf3b00/England-Germany-June-17-2000-UEFA-Euro-2000,,1adf3b00
INT-European Championship,2000,2000-06-17 Romania-Portugal,Group stage,2,Sat,2000-06-17,18:00 (01:00),Romania,0–1,Portugal,28400,GelreDome,Gilles Veissière,/en/matches/47ecc3a7/Romania-Portugal-June-17-2000-UEFA-Euro-2000,,47ecc3a7
INT-European Championship,2000,2000-06-18 Norway-Yugoslavia,Group stage,2,Sun,2000-06-18,20:45 (03:45),Norway,0–1,Yugoslavia,28750,Stade Maurice Dufrasne,Hugh Dallas,/en/matches/7d4aaa87/Norway-FR-Yugoslavia-June-18-2000-UEFA-Euro-2000,,7d4aaa87
INT-European Championship,2000,2000-06-18 Slovenia-Spain,Group stage,2,Sun,2000-06-18,18:00 (01:00),Slovenia,1–2,Spain,51300,Johan Cruyff ArenA,Markus Merk,/en/matches/aa10dc8f/Slovenia-Spain-June-18-2000-UEFA-Euro-2000,,aa10dc8f
