game_id,date,season,time,home_team,away_team,home_score,away_score,venue
12057831,2024-09-05,2025,16:00,Azerbaijan,Sweden,1,3,
12057929,2024-09-05,2025,18:45,Portugal,Croatia,2,1,
12057919,2024-09-05,2025,18:45,Scotland,Poland,2,3,
12057887,2024-09-05,2025,18:45,Denmark,Switzerland,2,0,
12057882,2024-09-05,2025,18:45,Serbia,Spain,0,0,
12057832,2024-09-05,2025,18:45,Estonia,Slovakia,0,1,
12057805,2024-09-05,2025,18:45,Belarus,Bulgaria,0,0,
12057810,2024-09-05,2025,18:45,Northern Ireland,Luxembourg,2,0,
12057789,2024-09-05,2025,18:45,San Marino,Liechtenstein,1,0,
12057849,2024-09-06,2025,14:00,Kazakhstan,Norway,0,0,
12198109,2024-09-06,2025,16:00,Lithuania,Cyprus,0,1,
12057912,2024-09-06,2025,18:45,Belgium,Israel,3,1,
12057909,2024-09-06,2025,18:45,France,Italy,1,3,
12057852,2024-09-06,2025,18:45,Slovenia,Austria,1,1,
12057841,2024-09-06,2025,18:45,Iceland,Montenegro,2,0,
12057847,2024-09-06,2025,18:45,Wales,Türkiye,0,0,
12057817,2024-09-06,2025,18:45,Kosovo,Romania,0,3,
12057798,2024-09-07,2025,13:00,Faroe Islands,North Macedonia,1,1,
12057880,2024-09-07,2025,16:00,Georgia,Czechia,4,1,
12057873,2024-09-07,2025,16:00,Ireland,England,0,2,
12057799,2024-09-07,2025,16:00,Armenia,Latvia,4,1,
12057787,2024-09-07,2025,16:00,Moldova,Malta,2,0,
12057903,2024-09-07,2025,18:45,Germany,Hungary,5,0,
12057896,2024-09-07,2025,18:45,Netherlands,Bosnia & Herzegovina,5,2,
12057879,2024-09-07,2025,18:45,Ukraine,Albania,1,2,
12057868,2024-09-07,2025,18:45,Greece,Finland,3,0,
12057814,2024-09-08,2025,13:00,Luxembourg,Belarus,0,1,
12057891,2024-09-08,2025,16:00,Denmark,Serbia,2,0,
12057830,2024-09-08,2025,16:00,Slovakia,Azerbaijan,2,0,
12057815,2024-09-08,2025,16:00,Bulgaria,Northern Ireland,1,0,
12057786,2024-09-08,2025,16:00,Gibraltar,Liechtenstein,2,2,
12057924,2024-09-08,2025,18:45,Croatia,Poland,1,0,
12057936,2024-09-08,2025,18:45,Portugal,Scotland,2,1,
12057885,2024-09-08,2025,18:45,Switzerland,Spain,1,4,
12057827,2024-09-08,2025,18:45,Sweden,Estonia,3,0,
12057819,2024-09-09,2025,16:00,Cyprus,Kosovo,0,4,
12057908,2024-09-09,2025,18:45,France,Belgium,2,0,
12057915,2024-09-09,2025,18:45,Israel,Italy,1,2,
12057851,2024-09-09,2025,18:45,Norway,Austria,2,1,
12057854,2024-09-09,2025,18:45,Slovenia,Kazakhstan,3,0,
12057837,2024-09-09,2025,18:45,Montenegro,Wales,1,2,
12057843,2024-09-09,2025,18:45,Türkiye,Iceland,3,1,
12057779,2024-09-09,2025,18:45,Romania,Lithuania,3,1,
12057802,2024-09-10,2025,16:00,Latvia,Faroe Islands,1,0,
12057904,2024-09-10,2025,18:45,Hungary,Bosnia & Herzegovina,0,0,
12057900,2024-09-10,2025,18:45,Netherlands,Germany,2,2,
12057878,2024-09-10,2025,18:45,Albania,Georgia,0,1,
12057875,2024-09-10,2025,18:45,Czechia,Ukraine,3,2,
12057872,2024-09-10,2025,18:45,England,Finland,2,0,
12057859,2024-09-10,2025,18:45,Ireland,Greece,0,2,
12057800,2024-09-10,2025,18:45,North Macedonia,Armenia,2,0,
12057782,2024-09-10,2025,18:45,Andorra,Malta,0,1,
12057801,2024-10-10,2025,16:00,Latvia,North Macedonia,0,3,
12057788,2024-10-10,2025,16:00,Moldova,Andorra,2,0,
12057914,2024-10-10,2025,18:45,Israel,France,1,4,
12057905,2024-10-10,2025,18:45,Italy,Belgium,2,2,
12057862,2024-10-10,2025,18:45,England,Greece,1,2,
12057864,2024-10-10,2025,18:45,Finland,Ireland,1,2,
12057853,2024-10-10,2025,18:45,Austria,Kazakhstan,4,0,
12057850,2024-10-10,2025,18:45,Norway,Slovenia,3,0,
12057797,2024-10-10,2025,18:45,Faroe Islands,Armenia,2,2,
12057783,2024-10-10,2025,18:45,Gibraltar,San Marino,1,0,
12057822,2024-10-11,2025,16:00,Estonia,Azerbaijan,3,1,
12057895,2024-10-11,2025,18:45,Bosnia & Herzegovina,Germany,1,2,
12057897,2024-10-11,2025,18:45,Hungary,Netherlands,1,1,
12057876,2024-10-11,2025,18:45,Czechia,Albania,2,0,
12057874,2024-10-11,2025,18:45,Ukraine,Georgia,1,0,
12057835,2024-10-11,2025,18:45,Iceland,Wales,2,2,
12057842,2024-10-11,2025,18:45,Türkiye,Montenegro,1,0,
12057821,2024-10-11,2025,18:45,Slovakia,Sweden,2,2,
12057910,2024-10-12,2025,13:00,Lithuania,Kosovo,1,2,
12057923,2024-10-12,2025,16:00,Croatia,Scotland,2,1,
12057813,2024-10-12,2025,16:00,Bulgaria,Luxembourg,0,0,
12057926,2024-10-12,2025,18:45,Poland,Portugal,1,3,
12057886,2024-10-12,2025,18:45,Serbia,Switzerland,2,0,
12057881,2024-10-12,2025,18:45,Spain,Denmark,1,0,
12057825,2024-10-12,2025,18:45,Cyprus,Romania,0,3,
12057807,2024-10-12,2025,18:45,Belarus,Northern Ireland,0,0,
12057856,2024-10-13,2025,13:00,Kazakhstan,Slovenia,0,1,
12057867,2024-10-13,2025,16:00,Finland,England,1,3,
12057796,2024-10-13,2025,16:00,Armenia,North Macedonia,0,2,
12057778,2024-10-13,2025,16:00,Liechtenstein,Gibraltar,0,0,
12057785,2024-10-13,2025,16:00,Malta,Moldova,1,0,
12057860,2024-10-13,2025,18:45,Greece,Ireland,2,0,
12057855,2024-10-13,2025,18:45,Austria,Norway,5,1,
12057794,2024-10-13,2025,18:45,Faroe Islands,Latvia,1,1,
12057871,2024-10-14,2025,16:00,Georgia,Albania,0,1,
12057823,2024-10-14,2025,16:00,Azerbaijan,Slovakia,1,3,
12057907,2024-10-14,2025,18:45,Belgium,France,1,2,
12057913,2024-10-14,2025,18:45,Italy,Israel,4,1,
12057902,2024-10-14,2025,18:45,Bosnia & Herzegovina,Hungary,0,2,
12057901,2024-10-14,2025,18:45,Germany,Netherlands,1,0,
12057870,2024-10-14,2025,18:45,Ukraine,Czechia,1,1,
12057840,2024-10-14,2025,18:45,Iceland,Türkiye,2,4,
12057836,2024-10-14,2025,18:45,Wales,Montenegro,1,0,
12057826,2024-10-14,2025,18:45,Estonia,Sweden,0,3,
12057927,2024-10-15,2025,18:45,Poland,Croatia,3,3,
12057922,2024-10-15,2025,18:45,Scotland,Portugal,0,0,
12057888,2024-10-15,2025,18:45,Spain,Serbia,3,0,
12057883,2024-10-15,2025,18:45,Switzerland,Denmark,2,2,
12057818,2024-10-15,2025,18:45,Kosovo,Cyprus,3,0,
12057781,2024-10-15,2025,18:45,Lithuania,Romania,1,2,
12057808,2024-10-15,2025,18:45,Belarus,Luxembourg,1,1,
12057804,2024-10-15,2025,18:45,Northern Ireland,Bulgaria,5,0,
12057846,2024-11-14,2025,15:00,Kazakhstan,Austria,0,2,
12057795,2024-11-14,2025,17:00,Armenia,Faroe Islands,0,1,
12057906,2024-11-14,2025,19:45,Belgium,Italy,0,1,
12057916,2024-11-14,2025,19:45,France,Israel,0,0,
12057858,2024-11-14,2025,19:45,Greece,England,0,3,
12057863,2024-11-14,2025,19:45,Ireland,Finland,1,0,
12057848,2024-11-14,2025,19:45,Slovenia,Norway,1,4,
12057792,2024-11-14,2025,19:45,North Macedonia,Latvia,1,0,
12057777,2024-11-15,2025,17:00,Cyprus,Lithuania,2,1,
12057930,2024-11-15,2025,19:45,Portugal,Poland,5,1,
12057918,2024-11-15,2025,19:45,Scotland,Croatia,1,0,
12057884,2024-11-15,2025,19:45,Denmark,Spain,1,2,
12057889,2024-11-15,2025,19:45,Switzerland,Serbia,1,1,
12057816,2024-11-15,2025,19:45,Romania,Kosovo,3,0,
12057812,2024-11-15,2025,19:45,Luxembourg,Bulgaria,0,1,
12057803,2024-11-15,2025,19:45,Northern Ireland,Belarus,2,0,
12265085,2024-11-15,2025,19:45,San Marino,Gibraltar,1,1,
12057828,2024-11-16,2025,14:00,Azerbaijan,Estonia,0,0,
12057869,2024-11-16,2025,17:00,Georgia,Ukraine,1,1,
12057834,2024-11-16,2025,17:00,Montenegro,Iceland,0,2,
12057838,2024-11-16,2025,17:00,Türkiye,Wales,0,0,
12057784,2024-11-16,2025,17:00,Andorra,Moldova,0,1,
12057899,2024-11-16,2025,19:45,Germany,Bosnia & Herzegovina,7,0,
12057892,2024-11-16,2025,19:45,Netherlands,Hungary,4,0,
12057866,2024-11-16,2025,19:45,Albania,Czechia,0,0,
12057829,2024-11-16,2025,19:45,Sweden,Slovakia,2,1,
12057793,2024-11-17,2025,14:00,Latvia,Armenia,1,2,
12057791,2024-11-17,2025,14:00,North Macedonia,Faroe Islands,1,0,
12057861,2024-11-17,2025,17:00,England,Ireland,5,0,
12057857,2024-11-17,2025,17:00,Finland,Greece,0,2,
12057844,2024-11-17,2025,17:00,Austria,Slovenia,1,1,
12057845,2024-11-17,2025,17:00,Norway,Kazakhstan,5,0,
12057965,2024-11-17,2025,19:45,Israel,Belgium,1,0,
12057911,2024-11-17,2025,19:45,Italy,France,1,3,
12057917,2024-11-18,2025,19:45,Croatia,Portugal,1,1,
12057920,2024-11-18,2025,19:45,Poland,Scotland,1,2,
12057890,2024-11-18,2025,19:45,Serbia,Denmark,0,0,
12057898,2024-11-18,2025,19:45,Spain,Switzerland,3,2,
12057780,2024-11-18,2025,19:45,Kosovo,Lithuania,1,0,
12057811,2024-11-18,2025,19:45,Romania,Cyprus,4,1,
12057809,2024-11-18,2025,19:45,Bulgaria,Belarus,1,1,
12057806,2024-11-18,2025,19:45,Luxembourg,Northern Ireland,2,2,
12057790,2024-11-18,2025,19:45,Liechtenstein,San Marino,1,3,
12057893,2024-11-19,2025,19:45,Bosnia & Herzegovina,Netherlands,1,1,
12057894,2024-11-19,2025,19:45,Hungary,Germany,1,1,
12057877,2024-11-19,2025,19:45,Albania,Ukraine,1,2,
12057865,2024-11-19,2025,19:45,Czechia,Georgia,2,1,
12057839,2024-11-19,2025,19:45,Montenegro,Türkiye,3,1,
12057833,2024-11-19,2025,19:45,Wales,Iceland,4,1,
12057820,2024-11-19,2025,19:45,Slovakia,Estonia,1,0,
12057824,2024-11-19,2025,19:45,Sweden,Azerbaijan,6,0,
12057776,2024-11-19,2025,19:45,Malta,Andorra,0,0,
12057831,2024-09-05,2025,16:00,Azerbaijan,Sweden,1,3,
12057929,2024-09-05,2025,18:45,Portugal,Croatia,2,1,
12057919,2024-09-05,2025,18:45,Scotland,Poland,2,3,
12057887,2024-09-05,2025,18:45,Denmark,Switzerland,2,0,
